t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
2.541770,1.7453292520,1.7502720790,0.0000000000,-0.3102007599,-0.0024533907,0.3102007599,-0.1121485646,0.1946594815,2.0449425437,1.0790779371,0.5197858295,0.9384764923,0.0446398598,-0.1191987484,-25.0317371718,-6.002,-7,0.3759664366,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.583451,1.7453292520,1.7349322711,0.0000000000,-0.3331144208,0.0130703048,0.3331144208,-0.1116039686,0.2489521761,1.3030246696,1.1140127255,0.5205317876,0.9416089391,0.0751787244,-0.1571904950,-33.0100039592,-5.487,-5,0.4091801849,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.625192,1.7453292520,1.7257283864,0.0000000000,-0.3290839194,0.0222418438,0.3290839194,-0.1106772251,0.2640576890,0.3625323099,1.2245299321,0.5217695380,0.9454541317,0.0922846212,-0.1823514565,-38.2938058666,-4.972,-5,0.4485000877,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.666775,1.7453292520,1.7241944056,0.0000000000,-0.2941440734,0.0234954239,0.2941440734,-0.1096982491,0.2325744306,-0.7555982014,1.3491856481,0.5232568359,0.9487180181,0.0783332744,-0.1762378658,-37.0099518145,-4.457,-3,0.4675457443,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.708523,1.7453292520,1.7272623672,0.0000000000,-0.2386505233,0.0199821131,0.2386505233,-0.1088656610,0.1709224153,-1.4796483671,1.4055873640,0.5244912443,0.9505494990,0.0439555412,-0.1348816449,-28.3251454264,-3.942,-4,0.4576589184,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.750107,1.7453292520,1.7287963479,0.0000000000,-0.1891021994,0.0180504950,0.1891021994,-0.1081135571,0.1182786261,-1.2634509406,1.3727714948,0.5251725316,0.9514074052,0.0205897498,-0.0914211753,-19.1984468181,-3.428,-3,0.4319919892,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.791795,1.7453292520,1.7303303287,0.0000000000,-0.1489017177,0.0161938956,0.1489017177,-0.1074388114,0.0750553859,-1.0373577660,1.2911824686,0.5254888303,0.9517337092,0.0078312946,-0.0548296140,-11.5142189366,-2.913,-2,0.3994916799,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.833470,1.7453292520,1.7318643095,0.0000000000,-0.1162855040,0.0143981618,0.1162855040,-0.1068388880,0.0394635041,-0.8542051622,1.1891942758,0.5256086586,0.9518173001,0.0020061829,-0.0267200579,-5.6112121601,-2.398,-2,0.3654640912,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.875097,1.7453292520,1.7349322711,0.0000000000,-0.0898227016,0.0111178298,0.0898227016,-0.1063756451,0.0069406402,-0.7805487346,1.0818059319,0.5256393134,0.9518196702,0.0000568821,-0.0043078798,-0.9046547547,-1.883,1,0.3328459843,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.916795,1.7453292520,1.7349322711,0.0000000000,-0.0683524011,0.0109455255,0.0683524011,-0.1059195815,-0.0144219465,-0.5127020809,0.9826651245,0.5256401824,0.9518290443,0.0002249770,0.0081997901,1.7219559135,-1.368,-2,0.3033149800,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
2.958435,1.7453292520,1.7380002327,0.0000000000,-0.0509327115,0.0077377667,0.0509327115,-0.1055971746,-0.0378964887,-0.5633890111,0.8906895708,0.5256436189,0.9518882662,0.0014213275,0.0197145376,4.1400528905,-1.883,-1,0.2777328272,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.000125,1.7453292520,1.7380002327,0.0000000000,-0.0367994401,0.0076243437,0.0367994401,-0.1052794936,-0.0519416184,-0.3370831125,0.8138622612,0.5256653249,0.9519908839,0.0024628230,0.0249245347,5.2341522889,-2.398,-2,0.2557776218,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.041829,1.7453292520,1.7395342135,0.0000000000,-0.0253325674,0.0059983385,0.0253325674,-0.1050295628,-0.0663923205,-0.3468168508,0.7470523914,0.5257029157,0.9521462722,0.0037293206,0.0295292389,6.2011401718,-2.913,-1,0.2375901127,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.083456,1.7453292520,1.7410681943,0.0000000000,-0.0205532969,0.0044260029,0.0205532969,-0.1048451460,-0.0741134411,-0.1853068951,0.6923653005,0.5257597880,0.9523273880,0.0043467784,0.0308359894,6.4755577661,-3.428,-3,0.2221665138,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.125231,1.7453292520,1.7410681943,0.0000000000,-0.0166756889,0.0043948842,0.0166756889,-0.1046620259,-0.0778721731,-0.0902095674,0.6470662675,0.5258260014,0.9525158948,0.0045241638,0.0305490764,6.4153060458,-3.942,-4,0.2087230580,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.166781,1.7453292520,1.7395342135,0.0000000000,-0.0135296348,0.0059036171,0.0135296348,-0.1044160418,-0.0777780244,0.0022595682,0.6086000082,0.5258948307,0.9526942503,0.0042805323,0.0289427483,6.0779771452,-4.457,-4,0.1964731008,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.208441,1.7453292520,1.7410681943,0.0000000000,-0.0109771187,0.0043491518,0.0109771187,-0.1042348272,-0.0832400467,-0.1310885363,0.5718148936,0.5259598727,0.9528879157,0.0046479692,0.0293686200,6.1674102034,-4.972,-3,0.1862363214,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.250186,1.7453292520,1.7410681943,0.0000000000,-0.0089061632,0.0043325319,0.0089061632,-0.1040543050,-0.0851658844,-0.0462201049,0.5419108301,0.5260304087,0.9530816085,0.0046486266,0.0287124233,6.0296088942,-5.487,-4,0.1772560322,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.291770,1.7453292520,1.7395342135,0.0000000000,-0.0072259165,0.0058530283,0.0072259165,-0.1038104288,-0.0835846374,0.0379499295,0.5165071215,0.5261008619,0.9532607806,0.0043001297,0.0270660019,5.6838603997,-5.237,-6,0.1688067884,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.333463,1.7453292520,1.7410681943,0.0000000000,-0.0058626670,0.0043081071,0.0058626670,-0.1036309244,-0.0878401190,-0.1021315585,0.4910785092,0.5261659506,0.9534504860,0.0045529301,0.0272722401,5.7271704236,-5.280,-6,0.1618717779,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.375143,1.7453292520,1.7410681943,0.0000000000,-0.0047566097,0.0042992307,0.0047566097,-0.1034517898,-0.0887870433,-0.0227261829,0.4708878559,0.5262347793,0.9536376716,0.0044924555,0.0266264788,5.5915605490,-5.144,-3,0.1557331799,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
3.416918,1.7453292520,1.7410681943,0.0000000000,-0.0038592224,0.0042920289,0.0038592224,-0.1032729552,-0.0895222666,-0.0176453598,0.4530288020,0.5263026062,0.9538220066,0.0044240387,0.0260089827,5.4618863689,-5.015,-4,0.1502818179,1.7453292520,0.0000000000,0,0.0000000000,0,0.000,0
