t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
1.666765,2.1816615650,2.2794954508,0.0000000000,0.2348782190,-0.0995049440,-0.2348782190,0.0159370636,-0.4080151650,3.6402611094,0.3693295254,0.5011067008,0.8951020828,0.0000000000,0.1098979445,23.0785683378,-1.179,0,0.2334632393,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.708460,2.1816615650,2.2764274892,0.0000000000,0.1164754562,-0.0955945973,-0.1164754562,0.0119539553,-0.2857801337,2.9336407510,0.3888790272,0.5011067008,0.8967285498,0.0390352072,0.0894765271,18.7900706833,-1.603,0,0.2620380083,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.750132,2.1816615650,2.2672236045,0.0000000000,0.0252560707,-0.0857417257,-0.0252560707,0.0083813834,-0.1791825778,2.5583413415,0.4557253675,0.5019082849,0.8974573747,0.0174917988,0.0535562243,11.2468071021,-2.026,-2,0.2588987220,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.791915,2.1816615650,2.2488158350,0.0000000000,-0.0955413180,-0.0664745344,0.0955413180,0.0056116112,-0.0245807390,3.7104441332,0.4748458107,0.5022657146,0.8974715719,0.0003407323,-0.0102875705,-2.1603897958,-1.603,-2,0.2361575888,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.833449,2.1816615650,2.2242721424,0.0000000000,-0.2437567464,-0.0408763523,0.2437567464,0.0039084298,0.1702968273,4.6770615909,0.4545228966,0.5022726663,0.8981284506,0.0157650886,-0.0905074339,-19.0065611282,-1.179,-1,0.2353411315,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.875119,2.1816615650,2.2043303922,0.0000000000,-0.3532840258,-0.0201553623,0.3532840258,0.0039084298,0.3188162553,3.5644662722,0.4647004808,0.5025938547,0.8981284506,0.0000000000,-0.1098979445,-23.0785683378,-0.756,-1,0.2353411315,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.916789,2.1816615650,2.1843886419,0.0000000000,-0.4112902417,0.0001990774,0.4112902417,0.0039167247,0.4151321993,2.3115826563,0.4726032666,0.5025938547,0.8981284506,0.0000000000,-0.1098979445,-23.0785683378,-0.333,-1,0.2353411315,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
1.958527,2.1816615650,2.1767187380,0.0000000000,-0.4006404775,0.0077932128,0.4006404775,0.0042414419,0.4190603162,0.0942748039,0.4764687499,0.5025938547,0.8981284506,0.0000000000,-0.1098979445,-23.0785683378,0.091,0,0.2353411315,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.000141,2.1816615650,2.1767187380,0.0000000000,-0.2830494633,0.0069566030,0.2830494633,0.0045313004,0.3001515958,-2.8538092884,0.4786629056,0.5025938547,0.9002596460,0.0511486886,-0.0987354910,-20.7344531190,0.514,0,0.2810944342,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.041797,2.1816615650,2.1797866996,0.0000000000,-0.1738200681,0.0031115209,0.1738200681,0.0046609471,0.1838014103,-2.7924044536,0.5693697685,0.5036297775,0.9011864979,0.0222444462,-0.0609514665,-12.7998079710,0.938,0,0.2808314521,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
