t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.259071,2.3929384117,2.3301168168,0.1450209698,-0.4436066458,0.0645960215,0.5886276156,0.0046737425,0.7215754691,25.2116346263,0.3589608812,0.4988833689,0.8926338220,0.2384437384,-0.1860264036,-0.0230880017,-0.0000000000,0.0010056988,0.9605291389,0.2200000000,-39.0655447532,-4.748,1.000000,80.0000000000,-5,0.2743217678
0.266753,2.3932404501,2.3193789513,0.2725484635,-0.5071596889,0.0758901375,0.7797081523,0.0053061603,0.9357186032,25.6971760914,0.4615362822,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0305828382,-0.0000000000,0.0018467885,1.0000000000,0.2200000000,-46.2000000000,-4.082,1.000000,80.0000000000,-4,0.2743217678
0.275100,2.3947558941,2.3086410858,0.4124034808,-0.5691535924,0.0883914227,0.9815570732,0.0060427555,1.1631312601,27.2895188296,0.4276453266,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0385000478,-0.0000000000,0.0026852403,1.0000000000,0.2200000000,-46.2000000000,-3.415,1.000000,80.0000000000,-3,0.2743217678
0.283421,2.3975244762,2.2979032203,0.5493062629,-0.6321423528,0.1021498253,1.1814486157,0.0068940040,1.3911972501,27.3679187905,0.3840983064,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0463404823,-0.0000000000,0.0033976950,1.0000000000,0.2200000000,-46.2000000000,-2.748,1.000000,80.0000000000,-2,0.2743217678
0.291767,2.4015559008,2.2856313739,0.6800226697,-0.6936284019,0.1186990404,1.3736510716,0.0078831627,1.6172548757,27.1269150760,0.3360612854,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0538793244,-0.0000000000,0.0039697149,1.0000000000,0.2200000000,-46.2000000000,-2.082,1.000000,80.0000000000,-2,0.2743217678
0.300112,2.4067970188,2.2748935084,0.7999867373,-0.7513639285,0.1349089661,1.5513506658,0.0090074041,1.8282688560,25.3216776412,0.2888001519,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0608493143,-0.0000000000,0.0044038674,1.0000000000,0.2200000000,-46.2000000000,-1.415,1.000000,80.0000000000,-1,0.2743217678
0.308432,2.4131459257,2.2656896237,0.9049630528,-0.8057239848,0.1506791980,1.7106870376,0.0102630640,2.0201757368,23.0288256926,0.2462237465,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0670990354,-0.0000000000,0.0047182134,1.0000000000,0.2200000000,-46.2000000000,-0.748,1.000000,80.0000000000,-1,0.2743217678
0.316769,2.4205128221,2.2549517582,0.9917460893,-0.8546480355,0.1689796560,1.8463941249,0.0116712278,2.1936307376,20.8146000929,0.2107341519,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0724219346,-0.0000000000,0.0049367198,1.0000000000,0.2200000000,-46.2000000000,-0.082,1.000000,80.0000000000,-1,0.2743217678
0.325093,2.4287175129,2.2457478735,1.0566359912,-0.8986796812,0.1865643582,1.9553156724,0.0132259308,2.3390227771,17.4470447429,0.1831942120,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0766942127,-0.0000000000,0.0050782354,1.0000000000,0.2200000000,-46.2000000000,0.585,1.000000,80.0000000000,-1,0.2743217678
0.333431,2.4376024027,2.2365439887,1.0969415580,-0.9359100798,0.2048020542,2.0328516378,0.0149326146,2.4544765403,13.8544515887,0.1637613750,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0797354402,-0.0000000000,0.0051575622,1.0000000000,0.2200000000,-46.2000000000,1.252,1.000000,80.0000000000,-3,0.2743217678
0.341748,2.4469160060,2.2319420464,1.1101928818,-0.9646212738,0.2188324447,2.0748141556,0.0167562183,2.5261133859,8.5964214651,0.1527364856,0.4998799307,0.8926338220,0.0000000000,-0.2200000000,-0.0813813546,-0.0000000000,0.0051822937,1.0000000000,0.2200000000,-46.2000000000,1.918,1.000000,80.0000000000,-1,0.2743217678
