t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
1.000116,2.4495544285,2.4405634335,0.0086921584,0.0000000000,0.0089909949,0.0086921584,0.0035906171,0.0349756460,0.0614472798,0.0039715002,0.4963832930,0.8857367492,0.0001683329,-0.0023280112,-0.0005271193,-0.0000000000,0.0000610123,0.0000000000,0.0615854214,-0.4888823567,0.359,1.000000,10.1211443054,0,0.0030314435
1.041783,2.4503054671,2.4405634335,0.0090150042,0.0000000000,0.0097420336,0.0090150042,0.0039965351,0.0376422031,0.0639973721,0.0046731321,0.4963868934,0.8857449147,0.0001959731,-0.0025210140,-0.0005466976,-0.0000000000,0.0000632783,0.0000000000,0.0615854214,-0.5294129355,0.400,1.000000,10.1211443054,0,0.0035539634
1.083460,2.4510850565,2.4405634335,0.0093331696,0.0000000000,0.0105216230,0.0093331696,0.0044349361,0.0404170184,0.0665955664,0.0054798703,0.4963910848,0.8857543834,0.0002272483,-0.0027254920,-0.0005659921,-0.0000000000,0.0000655115,0.0000000000,0.0615854214,-0.5723533234,0.443,1.000000,10.1211443054,0,0.0041512818
1.125181,2.4518936613,2.4390294527,0.0096467444,0.0000000000,0.0128642085,0.0096467444,0.0049709448,0.0470200879,0.1584736689,0.0064151050,0.4963959451,0.8857672848,0.0003096342,-0.0032011278,-0.0005850083,-0.0000000000,0.0000677125,0.0000000000,0.0615854214,-0.6722368301,0.543,1.000000,10.1211443054,0,0.0050213602
1.166830,2.4527286820,2.4405634335,0.0099546682,0.0000000000,0.0121652484,0.0099546682,0.0054778301,0.0463837595,-0.0152718815,0.0077457950,0.4964025670,0.8857799587,0.0003041732,-0.0031854110,-0.0006036817,-0.0000000000,0.0000698738,0.0000000000,0.0615854214,-0.6689363197,0.539,1.000000,10.1211443054,0,0.0057781328
1.208477,2.4535911742,2.4420974143,0.0102573034,0.0000000000,0.0114937599,0.0102573034,0.0059567368,0.0457679904,-0.0147784584,0.0088973325,0.4964090718,0.8857923988,0.0002985628,-0.0031662759,-0.0006220345,-0.0000000000,0.0000719979,0.0000000000,0.0615854214,-0.6649179297,0.535,1.000000,10.1211443054,0,0.0064333703
1.250115,2.4544806977,2.4420974143,0.0105544331,0.0000000000,0.0123832834,0.0105544331,0.0064727069,0.0488902146,0.0749333785,0.0099085736,0.4964154564,0.8858066948,0.0003431044,-0.0034096877,-0.0006400533,-0.0000000000,0.0000740835,0.0000000000,0.0615854214,-0.7160344217,0.586,1.000000,10.1211443054,0,0.0071956682
1.291859,2.4553994712,2.4420974143,0.0108466784,0.0000000000,0.0133020569,0.0108466784,0.0070269593,0.0521302550,0.0777609712,0.0110851636,0.4964227931,0.8858230817,0.0003932850,-0.0036690156,-0.0006577760,-0.0000000000,0.0000761347,0.0000000000,0.0615854214,-0.7704932749,0.641,1.000000,10.1211443054,0,0.0080733040
1.333443,2.4563412786,2.4420974143,0.0111320214,0.0000000000,0.0142438643,0.0111320214,0.0076204536,0.0554727356,0.0802195346,0.0124399164,0.4964312022,0.8858418110,0.0004495039,-0.0039445191,-0.0006750801,-0.0000000000,0.0000781374,0.0000000000,0.0615854214,-0.8283490093,0.699,1.000000,10.1211443054,0,0.0090741466
1.375092,2.4573107833,2.4420974143,0.0114118537,0.0000000000,0.0152133690,0.0114118537,0.0082543440,0.0589316898,0.0830149009,0.0139850634,0.4964408128,0.8858631725,0.0005126747,-0.0042386720,-0.0006920500,-0.0000000000,0.0000801015,0.0000000000,0.0615854214,-0.8901211116,0.760,1.000000,10.1211443054,0,0.0102074477
