t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
3.875088,2.5509210244,2.5141945113,0.0122559775,0.0206660359,0.0366629933,-0.0084100584,0.0688376581,0.1546329084,0.1800759279,0.1178029808,0.4983004842,0.8897004286,0.0050054791,-0.0161300250,-3.3873052491,3.258,2,0.0697083337
3.916763,2.5525654689,2.5141945113,0.0119470684,0.0185694763,0.0383138818,-0.0066224079,0.0704340698,0.1619566019,0.1757686450,0.1226750265,0.4984059422,0.8899345385,0.0056186376,-0.0172908196,-3.6310721196,3.501,3,0.0728648429
3.958486,2.5542039644,2.5157284921,0.0116263385,0.0166856118,0.0384241869,-0.0050592733,0.0720350776,0.1656844948,0.0894694287,0.1280372498,0.4985242147,0.8901856832,0.0060274727,-0.0181359222,-3.8085436609,3.679,4,0.0761625393
4.000121,2.5558305428,2.5157284921,0.0112948548,0.0149928643,0.0400559681,-0.0036980095,0.0737040763,0.1726271049,0.1666226425,0.1338844184,0.4986509710,0.8904655764,0.0067174357,-0.0194039971,-4.0748393930,3.945,3,0.0798670182
4.041765,2.5574483199,2.5172624729,0.0109518985,0.0134718454,0.0401444395,-0.0025199469,0.0753767612,0.1760081606,0.0811453379,0.1401675409,0.4987920879,0.8907646510,0.0071777906,-0.0203412451,-4.2716614764,4.142,2,0.0836776683
4.083426,2.5590569198,2.5187964537,0.0105974136,0.0145379763,0.0402157818,-0.0039405626,0.0770524188,0.1767565630,0.0179616565,0.1465181122,0.4989427017,0.8910745415,0.0074373717,-0.0209939720,-4.4087341139,4.279,4,0.0873743301
4.125102,2.5606556166,2.5218644153,0.0102314189,0.0154959487,0.0387435725,-0.0052645298,0.0786667343,0.1741446249,-0.0626865132,0.1523439432,0.4990985726,0.8913827026,0.0073958673,-0.0211965590,-4.4512773882,4.322,5,0.0906777073
4.166768,2.5622427391,2.5249323769,0.0098541666,0.0187895785,0.0372526100,-0.0089354118,0.0802189264,0.1690700501,-0.1217897957,0.1573385598,0.4992533818,0.8916791145,0.0071138858,-0.0210068639,-4.4114414146,4.282,4,0.0934142577
4.208461,2.5638190281,2.5280003384,0.0094653425,0.0241819143,0.0357443634,-0.0147165718,0.0817082749,0.1617718304,-0.1751572730,0.1612097126,0.4994021079,0.8919547096,0.0066142822,-0.0204187990,-4.2879477950,4.158,3,0.0954558096
4.250127,2.5653817569,2.5310683000,0.0090654871,0.0290272003,0.0342242380,-0.0199617132,0.0831342848,0.1549075159,-0.1647435485,0.1638599702,0.4995402300,0.8922100626,0.0061284722,-0.0197628784,-4.1502044543,4.021,5,0.0968921078
