t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
1.000102,2.4495541698,2.4405634335,0.0086920443,0.0000000000,0.0089907362,0.0086920443,0.0032713082,0.0345284569,0.0613918319,0.0038156708,0.4963817498,0.8857335570,0.0001638701,-0.0022947885,-0.0005271123,-0.0000000000,0.0000610115,0.0000000000,0.0632000000,-0.4819055816,0.352,1.000000,10.1211443054,0,0.0029218467
1.041807,2.4503059032,2.4405634335,0.0090151868,0.0000000000,0.0097424696,0.0090151868,0.0036772444,0.0371969793,0.0640445360,0.0045045365,0.4963852547,0.8857415208,0.0001911313,-0.0024873249,-0.0005467087,-0.0000000000,0.0000632796,0.0000000000,0.0632000000,-0.5223382202,0.393,1.000000,10.1211443054,0,0.0034355646
1.083449,2.4510848512,2.4405634335,0.0093330880,0.0000000000,0.0105214177,0.0093330880,0.0041156368,0.0399700017,0.0665525382,0.0052977267,0.4963893427,0.8857507691,0.0002219583,-0.0026910002,-0.0005659872,-0.0000000000,0.0000655109,0.0000000000,0.0632000000,-0.5651100499,0.435,1.000000,10.1211443054,0,0.0040234087
1.125098,2.4518920153,2.4405634335,0.0096461221,0.0000000000,0.0113285818,0.0096461221,0.0045876611,0.0428519104,0.0691658084,0.0062055911,0.4963940899,0.8857614685,0.0002567865,-0.0029068923,-0.0005849705,-0.0000000000,0.0000677081,0.0000000000,0.0632000000,-0.6104473831,0.481,1.000000,10.1211443054,0,0.0046926439
1.166869,2.4527294704,2.4405634335,0.0099549518,0.0000000000,0.0121660369,0.0099549518,0.0050945793,0.0458500399,0.0719551078,0.0072394090,0.4963995817,0.8857738080,0.0002961489,-0.0031364071,-0.0006036989,-0.0000000000,0.0000698758,0.0000000000,0.0632000000,-0.6586454924,0.529,1.000000,10.1211443054,0,0.0054513264
1.208581,2.4535933559,2.4405634335,0.0102580503,0.0000000000,0.0130299224,0.0102580503,0.0056374927,0.0489552734,0.0745256051,0.0084116694,0.4964059151,0.8857879926,0.0003404306,-0.0033799595,-0.0006220798,-0.0000000000,0.0000720032,0.0000000000,0.0632000000,-0.7097915052,0.580,1.000000,10.1211443054,0,0.0063074700
1.250116,2.4544807086,2.4420974143,0.0105544366,0.0000000000,0.0123832943,0.0105544366,0.0061534633,0.0484438718,-0.0122736383,0.0097154370,0.4964131951,0.8858020099,0.0003364150,-0.0033732223,-0.0006400535,-0.0000000000,0.0000740835,0.0000000000,0.0632000000,-0.7083766900,0.579,1.000000,10.1211443054,0,0.0070568188
1.291801,2.4553981586,2.4420974143,0.0108462710,0.0000000000,0.0133007443,0.0108462710,0.0067076610,0.0516802951,0.0776741593,0.0108721254,0.4964203888,0.8858180914,0.0003859561,-0.0036312089,-0.0006577513,-0.0000000000,0.0000761318,0.0000000000,0.0632000000,-0.7625538594,0.633,1.000000,10.1211443054,0,0.0079208439
1.333455,2.4563415576,2.4420974143,0.0111321039,0.0000000000,0.0142441433,0.0111321039,0.0073011670,0.0550270457,0.0803220148,0.0122059776,0.4964286415,0.8858364915,0.0004416016,-0.0039057878,-0.0006750851,-0.0000000000,0.0000781380,0.0000000000,0.0632000000,-0.8202154395,0.691,1.000000,10.1211443054,1,0.0089078837
1.375208,2.4573135300,2.4420974143,0.0114126275,0.0000000000,0.0152161157,0.0114126275,0.0079351718,0.0584926872,0.0831753951,0.0137299425,0.4964380833,0.8858574995,0.0005041920,-0.0041990627,-0.0006920969,-0.0000000000,0.0000801070,0.0000000000,0.0632000000,-0.8818031703,0.752,1.000000,10.1211443054,0,0.0100273421
1.416771,2.4583069590,2.4420974143,0.0116857633,0.0000000000,0.0162095446,0.0116857633,0.0086105695,0.0620595601,0.0856049511,0.0154585615,0.4964488626,0.8858814252,0.0005742156,-0.0045114449,-0.0007086607,-0.0000000000,0.0000820240,0.0000000000,0.0632000000,-0.9474034264,0.818,1.000000,10.1211443054,1,0.0112879409
1.458477,2.4593294190,2.4420974143,0.0119535464,0.0000000000,0.0172320047,0.0119535464,0.0093285697,0.0657493044,0.0885538620,0.0174053986,0.4964611378,0.8859086310,0.0006529413,-0.0048463385,-0.0007248999,-0.0000000000,0.0000839035,0.0000000000,0.0632000000,-1.0177310871,0.888,1.000000,10.1211443054,0,0.0127004409
1.500111,2.4603753258,2.4420974143,0.0122144112,0.0000000000,0.0182779115,0.0122144112,0.0100901493,0.0695485135,0.0911810195,0.0195870838,0.4964750946,0.8859395116,0.0007411324,-0.0052048713,-0.0007407195,-0.0000000000,0.0000857345,0.0000000000,0.0632000000,-1.0930229691,0.963,1.000000,10.1211443054,1,0.0142751209
1.541764,2.4614465741,2.4420974143,0.0124687846,0.0000000000,0.0193491598,0.0124687846,0.0108963643,0.0734635722,0.0939614075,0.0220195401,0.4964909348,0.8859745136,0.0008400490,-0.0055898070,-0.0007561455,-0.0000000000,0.0000875198,0.0000000000,0.0632000000,-1.1738594629,1.044,1.000000,10.1211443054,1,0.0160232698
1.583475,2.4625438503,2.4420974143,0.0127167241,0.0000000000,0.0204464360,0.0127167241,0.0117482992,0.0774976770,0.0968185151,0.0247202333,0.4965088868,0.8860141412,0.0009510614,-0.0060039604,-0.0007711813,-0.0000000000,0.0000892600,0.0000000000,0.0632000000,-1.2608316803,1.131,1.000000,10.1211443054,0,0.0179569728
1.625142,2.4636640984,2.4420974143,0.0129574620,0.0000000000,0.0215666841,0.0129574620,0.0126469110,0.0816441717,0.0995158729,0.0277078131,0.4965292083,0.8860589525,0.0010754712,-0.0064496624,-0.0007857804,-0.0000000000,0.0000909497,0.0000000000,0.0632000000,-1.3544291073,1.225,1.000000,10.1211443054,0,0.0200882376
1.666810,2.4648080945,2.4420974143,0.0131911129,0.0000000000,0.0227106802,0.0131911129,0.0135931893,0.0859063897,0.1022932320,0.0310008209,0.4965521843,0.8861095772,0.0012149938,-0.0069302622,-0.0007999497,-0.0000000000,0.0000925896,0.0000000000,0.0632000000,-1.4553550610,1.326,1.000000,10.1211443054,0,0.0224298850
1.708542,2.4659772372,2.4420974143,0.0134178627,0.0000000000,0.0238798229,0.0134178627,0.0145881820,0.0902892896,0.1051895983,0.0346190408,0.4965781362,0.8861667284,0.0013716295,-0.0074495842,-0.0008137005,-0.0000000000,0.0000941810,0.0000000000,0.0632000000,-1.5644126769,1.435,1.000000,10.1211443054,0,0.0249957477
