t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
1.375112,2.4573112635,2.4451653759,0.0114119890,0.0000000000,0.0121458876,0.0114119890,0.0075512903,0.0509238896,-0.0082790500,0.0129582202,0.4964329797,0.8858419622,0.0003699990,-0.0036069458,-0.7574586221,0.628,0,0.0091323058
1.416773,2.4583070177,2.4436313951,0.0116857790,0.0000000000,0.0146756226,0.0116857790,0.0081627746,0.0580706976,0.1715233930,0.0140515475,0.4964408904,0.8858621633,0.0004848270,-0.0041447399,-0.8703953773,0.741,0,0.0102009000
1.458438,2.4593284589,2.4451653759,0.0119533010,0.0000000000,0.0141630830,0.0119533010,0.0087529030,0.0579532622,-0.0028184499,0.0156681113,0.4964512555,0.8858825091,0.0004882974,-0.0041829545,-0.8784204497,0.749,1,0.0111630458
1.500248,2.4603788044,2.4451653759,0.0122152577,0.0000000000,0.0152134285,0.0122152577,0.0093867959,0.0616051225,0.0876446462,0.0171498391,0.4964616939,0.8859057340,0.0005573988,-0.0044919503,-0.9433095554,0.814,1,0.0122832888
1.541775,2.4614468656,2.4451653759,0.0124688521,0.0000000000,0.0162814897,0.0124688521,0.0100651913,0.0653535071,0.0899612323,0.0188749589,0.4964736085,0.8859321782,0.0006346607,-0.0048213526,-1.0124840480,0.883,0,0.0135695067
1.583450,2.4625431677,2.4451653759,0.0127165736,0.0000000000,0.0173777918,0.0127165736,0.0107892659,0.0692275719,0.0929775543,0.0208557397,0.4964871733,0.8859622460,0.0007216273,-0.0051753758,-1.0868289252,0.957,0,0.0150323515
1.625100,2.4636629602,2.4451653759,0.0129572235,0.0000000000,0.0184975844,0.0129572235,0.0115599986,0.0732162134,0.0957273968,0.0231086075,0.4965025952,0.8859963816,0.0008192547,-0.0055556286,-1.1666820011,1.037,1,0.0166822473
1.666762,2.4648067581,2.4451653759,0.0131908469,0.0000000000,0.0196413822,0.0131908469,0.0123783895,0.0773221110,0.0985415412,0.0256496604,0.4965201014,0.8860350862,0.0009289095,-0.0059649460,-1.2526386636,1.123,0,0.0185304524
1.708451,2.4659746601,2.4451653759,0.0134173758,0.0000000000,0.0208092842,0.0134173758,0.0132454431,0.0815468491,0.1013937136,0.0284962602,0.4965399479,0.8860789245,0.0010521199,-0.0064063736,-1.3453384552,1.216,0,0.0205889774
1.750101,2.4671643511,2.4451653759,0.0136362946,0.0000000000,0.0219989752,0.0136362946,0.0141620670,0.0858856926,0.1041322460,0.0316668823,0.4965624232,0.8861285264,0.0011904459,-0.0068827608,-1.4453797741,1.316,0,0.0228699828
