t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
1.000094,2.4541559795,2.4451653759,0.0086919858,0.0000000000,0.0089906036,0.0086919858,0.0032072562,0.0334384768,0.0592199612,0.0034042309,0.4963780944,0.8857251579,0.0001331854,-0.0019036781,-0.0004048930,-0.0000000000,0.0000733952,0.0000000000,0.0644638019,-0.3997723942,0.270,1.000000,10.2827248300,0,0.0026434194
1.041796,2.4549076472,2.4451653759,0.0090151038,0.0000000000,0.0097422714,0.0090151038,0.0036131842,0.0360106017,0.0617309964,0.0040574477,0.4963809432,0.8857316291,0.0001553101,-0.0020647169,-0.0004199445,-0.0000000000,0.0000761235,0.0000000000,0.0644638019,-0.4335905493,0.304,1.000000,10.2827248300,0,0.0031302043
1.083439,2.4556865982,2.4451653759,0.0093330103,0.0000000000,0.0105212223,0.0093330103,0.0040515684,0.0386823066,0.0641209194,0.0048058183,0.4963842651,0.8857391429,0.0001803303,-0.0022352513,-0.0004347534,-0.0000000000,0.0000788078,0.0000000000,0.0644638019,-0.4694027733,0.340,1.000000,10.2827248300,0,0.0036849564
1.125128,2.4564945441,2.4451653759,0.0096463438,0.0000000000,0.0113291682,0.0096463438,0.0045236171,0.0414597222,0.0666579736,0.0056589299,0.4963881221,0.8857478355,0.0002086221,-0.0024163330,-0.0004493492,-0.0000000000,0.0000814535,0.0000000000,0.0644638019,-0.5074299394,0.378,1.000000,10.2827248300,0,0.0043145025
1.166781,2.4573296295,2.4451653759,0.0099543103,0.0000000000,0.0121642536,0.0099543103,0.0050304610,0.0443392905,0.0691096391,0.0066273343,0.4963925841,0.8857578568,0.0002405119,-0.0026085538,-0.0004636950,-0.0000000000,0.0000840538,0.0000000000,0.0644638019,-0.5477962916,0.418,1.000000,10.2827248300,0,0.0050258737
1.208529,2.4581942226,2.4451653759,0.0102576821,0.0000000000,0.0130288467,0.0102576821,0.0055733296,0.0473288045,0.0717483367,0.0077219149,0.4963977279,0.8857693772,0.0002764894,-0.0028132833,-0.0004778267,-0.0000000000,0.0000866153,0.0000000000,0.0644638019,-0.5907894867,0.461,1.000000,10.2827248300,0,0.0058268787
1.250122,2.4590827887,2.4451653759,0.0105544815,0.0000000000,0.0139174128,0.0105544815,0.0061532218,0.0504149382,0.0740672074,0.0089547313,0.4964036410,0.8857825796,0.0003168561,-0.0030307582,-0.0004916523,-0.0000000000,0.0000891213,0.0000000000,0.0644638019,-0.6364592238,0.507,1.000000,10.2827248300,0,0.0067249852
1.291812,2.4600003463,2.4466993567,0.0108463471,0.0000000000,0.0133009896,0.0108463471,0.0067074297,0.0500217098,-0.0094374815,0.0103165348,0.4964104170,0.8857957187,0.0003153400,-0.0030378169,-0.0005052481,-0.0000000000,0.0000915857,0.0000000000,0.0644638019,-0.6379415508,0.508,1.000000,10.2827248300,0,0.0075182693
1.333453,2.4609434430,2.4482333375,0.0111320871,0.0027500493,0.0126979644,0.0083820378,0.0072365116,0.0468701038,-0.0756385435,0.0115045991,0.4964171602,0.8858073631,0.0002794659,-0.0028659197,-0.0003904549,-0.0000000000,0.0000939983,0.0000000000,0.0644638019,-0.6018431368,0.472,1.000000,10.2827248300,0,0.0080673940
1.375096,2.4619128197,2.4482333375,0.0114118802,0.0051847312,0.0136565921,0.0062271490,0.0078055362,0.0476505299,0.0187302256,0.0123400633,0.4964231360,0.8858194776,0.0002907470,-0.0029326414,-0.0002900751,-0.0000000000,0.0000963607,0.0000000000,0.0644638019,-0.6158546899,0.486,1.000000,10.2827248300,0,0.0086079449
1.416760,2.4629086476,2.4482333375,0.0116856952,0.0045901617,0.0146550451,0.0070955335,0.0084161631,0.0515996473,0.0947788172,0.0131724046,0.4964293528,0.8858337756,0.0003431525,-0.0032027251,-0.0003305265,-0.0000000000,0.0000986726,0.0000000000,0.0644638019,-0.6725722652,0.543,1.000000,10.2827248300,0,0.0093185936
1.458472,2.4639312300,2.4497673183,0.0119535128,0.0040637757,0.0141459706,0.0078897371,0.0090055786,0.0520001980,0.0096132175,0.0142367341,0.4964366897,0.8858484164,0.0003513787,-0.0032536161,-0.0003675223,-0.0000000000,0.0001009338,0.0000000000,0.0644638019,-0.6832593794,0.554,1.000000,10.2827248300,0,0.0099863439
1.500111,2.4649772583,2.4513012990,0.0122144088,0.0063478033,0.0136479344,0.0058666054,0.0095742425,0.0495815322,-0.0580479777,0.0152208065,0.4964442021,0.8858618277,0.0003218709,-0.0031196552,-0.0002732802,-0.0000000000,0.0001031366,0.0000000000,0.0644638019,-0.6551275884,0.525,1.000000,10.2827248300,0,0.0104548107
1.541799,2.4660494285,2.4543692606,0.0124689959,0.0083699055,0.0116432156,0.0040990903,0.0100593765,0.0438645912,-0.1372065855,0.0158660346,0.4964510832,0.8858723763,0.0002531658,-0.0027599958,-0.0001909452,-0.0000000000,0.0001052862,0.0000000000,0.0644638019,-0.5795991169,0.450,1.000000,10.2827248300,0,0.0105809997
1.583471,2.4671456863,2.4543692606,0.0127167006,0.0101601191,0.0127315699,0.0025565815,0.0105898586,0.0455036242,0.0393367915,0.0160547247,0.4964564953,0.8858837441,0.0002728294,-0.0028692628,-0.0001190915,-0.0000000000,0.0001073776,0.0000000000,0.0644638019,-0.6025451872,0.473,1.000000,10.2827248300,0,0.0107764628
1.625126,2.4682655975,2.4543692606,0.0129573691,0.0089949869,0.0138566250,0.0039623822,0.0111672179,0.0502361350,0.1135802601,0.0163614263,0.4964623275,0.8858976318,0.0003333046,-0.0031844980,-0.0001845770,-0.0000000000,0.0001094096,0.0000000000,0.0644638019,-0.6687445838,0.539,1.000000,10.2827248300,0,0.0112050628
1.666784,2.4694093194,2.4543692606,0.0131909701,0.0079634687,0.0150049009,0.0052275014,0.0117924221,0.0549435777,0.1129786244,0.0170218437,0.4964694521,0.8859143273,0.0004006905,-0.0035092521,-0.0002435092,-0.0000000000,0.0001113819,0.0000000000,0.0644638019,-0.7369429334,0.607,1.000000,10.2827248300,0,0.0118693882
1.708442,2.4705763531,2.4559032414,0.0134173287,0.0070502418,0.0146419856,0.0063670868,0.0124025049,0.0560506826,0.0265705174,0.0180041595,0.4964780166,0.8859318309,0.0004200870,-0.0036076957,-0.0002965937,-0.0000000000,0.0001132930,0.0000000000,0.0644638019,-0.7576160934,0.628,1.000000,10.2827248300,0,0.0125395586
1.750132,2.4717671927,2.4574372222,0.0136364557,0.0089917905,0.0142902727,0.0046446652,0.0129979329,0.0543022419,-0.0419625761,0.0189779684,0.4964869952,0.8859483792,0.0003971589,-0.0035160928,-0.0002163593,-0.0000000000,0.0001151431,0.0000000000,0.0644638019,-0.7383794863,0.609,1.000000,10.2827248300,0,0.0130398463
1.791895,2.4729827358,2.4589712030,0.0138483996,0.0107106881,0.0139642463,0.0031377114,0.0135797765,0.0528102439,-0.0358079526,0.0196920578,0.4964954831,0.8859641136,0.0003776258,-0.0034333161,-0.0001461619,-0.0000000000,0.0001169325,0.0000000000,0.0644638019,-0.7209963710,0.591,1.000000,10.2827248300,0,0.0134041994
1.833576,2.4742179722,2.4589712030,0.0140522175,0.0122324677,0.0151927642,0.0018197498,0.0142128083,0.0551282925,0.0556331664,0.0202402747,0.4965035531,0.8859813290,0.0004131704,-0.0036024953,-0.0000847682,-0.0000000000,0.0001186533,0.0000000000,0.0644638019,-0.7565240053,0.627,1.000000,10.2827248300,0,0.0138730819
1.875128,2.4754709300,2.4605051838,0.0142475979,0.0135797342,0.0149057931,0.0006678637,0.0148338831,0.0541319218,-0.0239128960,0.0209045942,0.4965123821,0.8859980089,0.0004003170,-0.0035515109,-0.0000311106,-0.0000000000,0.0001203029,0.0000000000,0.0644638019,-0.7458172840,0.616,1.000000,10.2827248300,0,0.0142369795
1.916810,2.4767489679,2.4620391646,0.0144356148,0.0147725001,0.0146445844,-0.0003368853,0.0154440741,0.0533273659,-0.0193093418,0.0214092270,0.4965209358,0.8860142564,0.0003899408,-0.0035087738,0.0000156929,0.0000000000,0.0001218903,0.0000000000,0.0644638019,-0.7368425065,0.607,1.000000,10.2827248300,0,0.0145178483
1.958495,2.4780478717,2.4620391646,0.0146155214,0.0130784339,0.0159509673,0.0015370875,0.0161086977,0.0590566561,0.1375029654,0.0218485733,0.4965292674,0.8860342465,0.0004797615,-0.0039102703,-0.0000716011,-0.0000000000,0.0001234092,0.0000000000,0.0644638019,-0.8211567643,0.692,1.000000,10.2827248300,0,0.0151268407
2.000246,2.4793691820,2.4605051838,0.0147874288,0.0115786381,0.0188128797,0.0032087907,0.0168925677,0.0682959218,0.2217423760,0.0228269875,0.4965395173,0.8860611708,0.0006461827,-0.0045731539,-0.0001494729,-0.0000000000,0.0001248606,0.0000000000,0.0644638019,-0.9603623156,0.831,1.000000,10.2827248300,0,0.0163316277
2.041772,2.4807031030,2.4605051838,0.0149500506,0.0102508344,0.0201526629,0.0046992162,0.0177322620,0.0739468097,0.1356213089,0.0246602872,0.4965533216,0.8860931526,0.0007675631,-0.0050279579,-0.0002189004,-0.0000000000,0.0001262336,0.0000000000,0.0644638019,-1.0558711493,0.926,1.000000,10.2827248300,0,0.0178712195
2.083450,2.4820611877,2.4620391646,0.0151047490,0.0090752993,0.0199819567,0.0060294497,0.0185648435,0.0759747719,0.0486710941,0.0269463991,0.4965697169,0.8861274624,0.0008234365,-0.0052544259,-0.0002808658,-0.0000000000,0.0001275396,0.0000000000,0.0644638019,-1.1034294452,0.974,1.000000,10.2827248300,0,0.0194354272
2.125137,2.4834384562,2.4620391646,0.0152508192,0.0080345710,0.0213638198,0.0072162481,0.0194550027,0.0814841878,0.1322259812,0.0293204535,0.4965873036,0.8861675855,0.0009629548,-0.0057397416,-0.0003361497,-0.0000000000,0.0001287728,0.0000000000,0.0644638019,-1.2053457359,1.076,1.000000,10.2827248300,0,0.0213369238
2.166868,2.4848355592,2.4620391646,0.0153882337,0.0071131904,0.0227649907,0.0082750433,0.0204035439,0.0869860372,0.1320443865,0.0322045476,0.4966078670,0.8862142191,0.0011192059,-0.0062596726,-0.0003854708,-0.0000000000,0.0001299330,0.0000000000,0.0644638019,-1.3145312462,1.185,1.000000,10.2827248300,0,0.0235784268
2.208583,2.4862500726,2.4605051838,0.0155166665,0.0062974710,0.0257170861,0.0092191955,0.0214750892,0.0960798710,0.2182520098,0.0356734552,0.4966317631,0.8862724471,0.0013974725,-0.0070924438,-0.0004294516,-0.0000000000,0.0001310173,0.0000000000,0.0644638019,-1.4894131923,1.360,1.000000,10.2827248300,0,0.0265445837
2.250214,2.4876790479,2.4620391646,0.0156358108,0.0055752958,0.0256152690,0.0100605150,0.0225423921,0.0980831537,0.0480787853,0.0400971212,0.4966615944,0.8863349018,0.0014989121,-0.0074579864,-0.0004686422,-0.0000000000,0.0001320232,0.0000000000,0.0644638019,-1.5661771365,1.437,1.000000,10.2827248300,0,0.0294509346
2.291838,2.4891245863,2.4605051838,0.0157457992,0.0049359375,0.0285976109,0.0108098617,0.0237339592,0.1072081789,0.2190006041,0.0445899608,0.4966935837,0.8864116694,0.0018424227,-0.0084074263,-0.0005035486,-0.0000000000,0.0001329518,0.0088702319,0.0644638019,-1.7655595273,1.636,1.000000,10.2827248300,0,0.0331400324
2.333514,2.4905882859,2.4620391646,0.0158466583,0.0043698989,0.0285298287,0.0114767594,0.0249227021,0.1092735515,0.0495689424,0.0500919986,0.4967328934,0.8864941608,0.0019797935,-0.0088703758,-0.0005346142,-0.0000000000,0.0001338033,0.0083888412,0.0644638019,-1.8627789201,1.733,1.000000,10.2827248300,2,0.0367343449
2.375255,2.4920700523,2.4620391646,0.0159382590,0.0038687719,0.0300138075,0.0120694871,0.0261732774,0.1148933549,0.1348752812,0.0555398106,0.4967751211,0.8865883517,0.0022605803,-0.0096519644,-0.0005622248,-0.0000000000,0.0001345766,0.0218044777,0.0644638019,-2.0269125305,1.897,1.000000,10.2827248300,3,0.0407010593
2.416811,2.4935605109,2.4620391646,0.0160199881,0.0034251127,0.0315062249,0.0125948754,0.0274860367,0.1205463739,0.1356724575,0.0615513116,0.4968233213,0.8866956792,0.0025758601,-0.0105050508,-0.0005866986,-0.0000000000,0.0001352666,0.0410649729,0.0644638019,-2.2060606688,2.076,1.000000,10.2827248300,2,0.0450460445
2.458519,2.4950711320,2.4620391646,0.0160924067,0.0030323310,0.0330185800,0.0130600757,0.0288618109,0.1262671363,0.1372982963,0.0681353501,0.4968782225,0.8868178091,0.0029311182,-0.0114386157,-0.0006083688,-0.0000000000,0.0001358780,0.0659930437,0.0644638019,-2.4021092953,2.272,1.000000,10.2827248300,1,0.0497800324
2.500114,2.4965918043,2.4620391646,0.0161549358,0.0026845923,0.0345407876,0.0134703434,0.0303010104,0.1320383759,0.1385097525,0.0753076452,0.4969406678,0.8869565686,0.0033302271,-0.0124575509,-0.0006274800,-0.0000000000,0.0001364059,0.0960795653,0.0644638019,-2.6160856971,2.486,1.000000,10.2827248300,1,0.0549114918
